imu9250 monitor started
time, gx, gy, gz, ax, ay, az, mx, my, mz, comp, temp
15787,-2.334,0.831,-3.086,-0.012,0.006,1.033,11.939,-8.039,9.772,213.953,23.30607158148723
15888,-2.288,0.778,-2.449,-0.013,0.006,1.034,11.770,-7.870,9.737,213.769,23.301921391945708
15989,-2.217,0.744,-1.941,-0.013,0.005,1.034,11.635,-7.736,9.709,213.618,23.260262964935844
16090,-2.152,0.720,-1.609,-0.013,0.004,1.037,11.707,-7.748,9.626,213.497,23.322781911769564
16191,-2.188,0.746,-1.275,-0.015,0.004,1.039,11.435,-7.608,9.890,213.636,23.28653594963909
16292,-2.245,0.763,-1.028,-0.015,0.005,1.040,11.487,-7.286,9.771,212.385,23.31504659299968
16394,-2.214,0.790,-0.813,-0.015,0.004,1.039,11.559,-7.478,9.586,212.901,23.299516832311504
16495,-2.182,0.786,-0.652,-0.014,0.004,1.038,11.256,-7.392,9.618,213.292,23.287093023760967
16596,-2.167,0.785,-0.474,-0.014,0.005,1.036,11.074,-7.323,9.764,213.475,23.277153976920538
16697,-2.168,0.709,-0.416,-0.014,0.005,1.037,11.138,-7.238,9.790,213.016,23.269202739448193
16798,-2.206,0.692,-0.307,-0.015,0.004,1.035,11.190,-7.170,9.811,212.649,23.243672611781996
16899,-2.177,0.729,-0.278,-0.015,0.004,1.037,11.291,-7.355,10.008,213.081,23.24241764733736
17001,-2.192,0.721,-0.199,-0.016,0.004,1.035,11.342,-7.293,9.776,212.744,23.279751951158293
17102,-2.225,0.693,-0.167,-0.016,0.004,1.034,11.442,-7.424,9.890,212.976,23.290450256526718
17203,-2.172,0.681,-0.163,-0.015,0.004,1.033,11.523,-7.589,9.801,213.367,23.299008900821455
17304,-2.172,0.681,-0.163,-0.015,0.004,1.033,11.523,-7.589,9.801,213.367,23.299008900821455
17405,-2.214,0.700,-0.083,-0.015,0.004,1.033,11.168,-7.540,9.670,214.027,23.267517540880604
17506,-2.220,0.702,0.006,-0.014,0.005,1.032,11.033,-7.472,9.895,214.106,23.261493590616247
17608,-2.209,0.740,-0.089,-0.015,0.005,1.032,11.136,-7.627,9.865,214.407,23.23750529271644
17709,-2.204,0.775,-0.054,-0.016,0.004,1.031,11.218,-7.751,9.842,214.642,23.247068360929074
17810,-2.228,0.745,0.012,-0.016,0.004,1.030,11.193,-7.640,10.092,214.316,23.264303384343343
17911,-2.253,0.706,0.011,-0.015,0.004,1.032,11.114,-7.611,9.933,214.406,23.230168558853954
18012,-2.246,0.746,-0.025,-0.016,0.004,1.032,10.930,-7.648,9.926,214.983,23.269952680371567
18113,-2.197,0.771,0.029,-0.015,0.003,1.033,11.023,-7.618,10.040,214.649,23.244272564520692
18215,-2.175,0.750,0.035,-0.016,0.003,1.033,11.158,-7.594,9.951,214.239,23.262066747216636
18316,-2.174,0.726,0.071,-0.015,0.004,1.033,11.235,-7.545,9.910,213.882,23.276302093373392
18417,-2.220,0.706,0.060,-0.015,0.005,1.034,11.297,-7.505,9.817,213.597,23.30685950798712
18519,-2.261,0.661,0.048,-0.014,0.004,1.034,11.347,-7.473,9.743,213.370,23.30255173314562
18620,-2.181,0.620,0.047,-0.015,0.004,1.035,11.626,-7.568,9.624,213.062,23.29910551327242
18721,-2.221,0.626,0.039,-0.014,0.004,1.034,11.640,-7.734,9.798,213.600,23.30593310621802
18822,-2.238,0.650,0.033,-0.015,0.004,1.034,11.621,-7.716,9.908,213.584,23.3113951805745
18923,-2.234,0.670,0.020,-0.015,0.004,1.035,11.756,-7.613,10.025,212.925,23.315764840059682
19026,-2.266,0.667,0.033,-0.015,0.004,1.034,11.756,-7.613,10.025,212.925,23.300091429959508
19127,-2.266,0.667,0.033,-0.015,0.004,1.034,11.564,-7.409,9.640,212.650,23.300091429959508
19228,-2.251,0.668,0.007,-0.015,0.004,1.035,11.560,-7.397,9.721,212.614,23.325890977256012
19329,-2.289,0.704,0.034,-0.014,0.003,1.034,11.557,-7.387,9.786,212.585,23.317776908560734
19431,-2.307,0.734,0.047,-0.014,0.004,1.035,11.465,-7.349,9.988,212.660,23.272947378227865
19532,-2.290,0.741,0.055,-0.015,0.004,1.033,11.511,-7.319,9.789,212.448,23.304175735870697
19633,-2.342,0.723,0.108,-0.014,0.003,1.034,11.638,-7.444,9.841,212.606,23.29082014660832
19734,-2.288,0.705,0.100,-0.014,0.003,1.033,11.529,-7.515,10.032,213.096,23.280135675198416
19835,-2.287,0.687,0.089,-0.014,0.004,1.032,11.473,-7.421,9.975,212.898,23.290757235758814
19936,-2.329,0.718,0.035,-0.014,0.004,1.032,11.427,-7.406,9.869,212.949,23.299254484207136
20037,-2.330,0.698,-0.007,-0.014,0.004,1.033,11.391,-7.514,9.664,213.413,23.28688314527747
20138,-2.314,0.725,0.029,-0.014,0.004,1.033,11.362,-7.601,9.501,213.782,23.257816936445415
20240,-2.274,0.729,0.033,-0.014,0.004,1.033,11.428,-7.520,9.580,213.346,23.272902244756416
20341,-2.248,0.753,0.092,-0.014,0.003,1.033,11.482,-7.396,9.703,212.786,23.284970491405215
20442,-2.226,0.761,0.133,-0.014,0.004,1.033,11.315,-7.386,9.712,213.135,23.294625088724256
20543,-2.307,0.772,0.089,-0.014,0.004,1.032,11.121,-7.378,9.479,213.562,23.254425922358685
20644,-2.270,0.744,0.107,-0.014,0.004,1.031,11.416,-7.222,9.502,212.319,23.27018943348703
20746,-2.242,0.730,0.104,-0.014,0.005,1.030,11.416,-7.222,9.502,212.319,23.340307655454673
20847,-2.242,0.730,0.104,-0.014,0.005,1.030,11.442,-7.247,9.431,212.350,23.340307655454673
20948,-2.249,0.716,0.080,-0.014,0.005,1.031,11.462,-7.447,9.494,213.011,23.358063957652142
21049,-2.180,0.688,0.036,-0.015,0.005,1.031,11.479,-7.607,9.544,213.532,23.333930724033475
21150,-2.185,0.674,0.079,-0.015,0.006,1.031,11.192,-7.615,9.585,214.230,23.314624137138544
